Game,Day,Date,StartTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,WildCard,Division,ConfChamp,SuperBowl
1,Sunday,2014-09-07,13:02:00,0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1,0,2014,1,0,1,0,0,0,1,0,0,0,0
2,Monday,2014-09-15,20:31:00,1,Indianapolis Colts,30.0,27.0,3.0,2.0,1.0,1.0,1,0,2014,2,0,2,0,0,0,1,0,0,0,0
3,Sunday,2014-09-21,13:02:00,0,Washington Redskins,37.0,34.0,3.0,1.0,1.0,0.0,1,0,2014,3,0,3,0,0,0,1,0,0,0,0
4,Sunday,2014-09-28,16:25:00,1,San Francisco 49ers,21.0,26.0,-5.0,1.0,4.0,-3.0,0,0,2014,3,1,-1,0,0,0,1,0,0,0,0
5,Sunday,2014-10-05,13:02:00,0,St. Louis Rams,34.0,28.0,6.0,3.0,3.0,0.0,1,0,2014,4,1,1,0,0,0,1,0,0,0,0
6,Sunday,2014-10-12,20:41:00,0,New York Giants,27.0,0.0,27.0,1.0,2.0,-1.0,1,0,2014,5,1,2,1,1,0,1,0,0,0,0
8,Sunday,2014-10-26,16:05:00,1,Arizona Cardinals,20.0,24.0,-4.0,1.0,3.0,-2.0,0,0,2014,5,2,-1,0,0,0,1,0,0,0,0
9,Sunday,2014-11-02,13:03:00,1,Houston Texans,31.0,21.0,10.0,1.0,4.0,-3.0,1,0,2014,6,2,1,0,0,0,1,0,0,0,0
10,Monday,2014-11-10,20:32:00,0,Carolina Panthers,45.0,21.0,24.0,5.0,0.0,5.0,1,0,2014,7,2,2,0,0,0,1,0,0,0,0
11,Sunday,2014-11-16,16:25:00,1,Green Bay Packers,20.0,53.0,-33.0,0.0,4.0,-4.0,0,0,2014,7,3,-1,0,0,0,1,0,0,0,0
12,Sunday,2014-11-23,13:02:00,0,Tennessee Titans,43.0,24.0,19.0,3.0,2.0,1.0,1,0,2014,8,3,1,0,0,0,1,0,0,0,0
13,Thursday,2014-11-27,16:36:00,1,Dallas Cowboys,33.0,10.0,23.0,3.0,1.0,2.0,1,0,2014,9,3,2,1,0,1,1,0,0,0,0
14,Sunday,2014-12-07,16:25:00,0,Seattle Seahawks,14.0,24.0,-10.0,2.0,2.0,0.0,0,0,2014,9,4,-1,0,0,0,1,0,0,0,0
15,Sunday,2014-12-14,20:35:00,0,Dallas Cowboys,27.0,38.0,-11.0,1.0,3.0,-2.0,0,0,2014,9,5,-2,1,0,1,1,0,0,0,0
16,Saturday,2014-12-20,16:30:00,1,Washington Redskins,24.0,27.0,-3.0,2.0,2.0,0.0,0,0,2014,9,6,-3,0,0,0,1,0,0,0,0
17,Sunday,2014-12-28,13:02:00,1,New York Giants,34.0,26.0,8.0,1.0,1.0,0.0,1,0,2014,10,6,1,1,1,0,1,0,0,0,0
1,Monday,2015-09-14,19:10:00,1,Atlanta Falcons,24.0,26.0,-2.0,2.0,2.0,0.0,0,0,2015,0,1,-1,0,0,0,1,0,0,0,0
2,Sunday,2015-09-20,16:25:00,0,Dallas Cowboys,10.0,20.0,-10.0,2.0,3.0,-1.0,0,0,2015,0,2,-1,1,0,1,1,0,0,0,0
3,Sunday,2015-09-27,13:03:00,1,New York Jets,24.0,17.0,7.0,4.0,1.0,3.0,1,0,2015,1,2,1,0,0,0,1,0,0,0,0
4,Sunday,2015-10-04,13:03:00,1,Washington Redskins,20.0,23.0,-3.0,1.0,2.0,-1.0,0,0,2015,1,3,-1,0,0,0,1,0,0,0,0
5,Sunday,2015-10-11,13:04:00,0,New Orleans Saints,39.0,17.0,22.0,4.0,2.0,2.0,1,0,2015,2,3,1,0,0,0,1,0,0,0,0
6,Monday,2015-10-19,20:30:00,0,New York Giants,27.0,7.0,20.0,3.0,4.0,-1.0,1,0,2015,3,3,2,1,1,0,1,0,0,0,0
7,Sunday,2015-10-25,20:31:00,1,Carolina Panthers,16.0,27.0,-11.0,3.0,1.0,2.0,0,0,2015,3,4,-1,0,0,0,1,0,0,0,0
9,Sunday,2015-11-08,20:31:00,1,Dallas Cowboys,33.0,27.0,6.0,1.0,0.0,1.0,1,1,2015,4,4,1,1,0,1,1,0,0,0,0
10,Sunday,2015-11-15,13:05:00,0,Miami Dolphins,19.0,20.0,-1.0,0.0,1.0,-1.0,0,0,2015,4,5,-1,0,0,0,1,0,0,0,0
11,Sunday,2015-11-22,13:02:00,0,Tampa Bay Buccaneers,17.0,45.0,-28.0,1.0,4.0,-3.0,0,0,2015,4,6,-2,0,0,0,1,0,0,0,0
12,Thursday,2015-11-26,12:35:00,1,Detroit Lions,14.0,45.0,-31.0,0.0,1.0,-1.0,0,0,2015,4,7,-3,0,0,0,1,0,0,0,0
13,Sunday,2015-12-06,16:25:00,1,New England Patriots,35.0,28.0,7.0,2.0,1.0,1.0,1,0,2015,5,7,1,0,0,0,1,0,0,0,0
14,Sunday,2015-12-13,13:01:00,0,Buffalo Bills,23.0,20.0,3.0,2.0,1.0,1.0,1,0,2015,6,7,2,0,0,0,1,0,0,0,0
15,Sunday,2015-12-20,20:31:00,0,Arizona Cardinals,17.0,40.0,-23.0,0.0,4.0,-4.0,0,0,2015,6,8,-1,0,0,0,1,0,0,0,0
16,Saturday,2015-12-26,20:26:00,0,Washington Redskins,24.0,38.0,-14.0,0.0,2.0,-2.0,0,0,2015,6,9,-2,0,0,0,1,0,0,0,0
17,Sunday,2016-01-03,13:03:00,1,New York Giants,35.0,30.0,5.0,1.0,2.0,-1.0,1,0,2015,7,9,1,1,1,0,1,0,0,0,0
1,Sunday,2016-09-11,13:05:00,0,Cleveland Browns,29.0,10.0,19.0,1.0,0.0,1.0,1,0,2016,1,0,-1,0,0,0,1,0,0,0,0
2,Monday,2016-09-19,20:30:00,1,Chicago Bears,29.0,14.0,15.0,3.0,0.0,3.0,1,0,2016,2,0,1,0,0,0,1,0,0,0,0
3,Sunday,2016-09-25,16:25:00,0,Pittsburgh Steelers,34.0,3.0,31.0,2.0,0.0,2.0,1,0,2016,3,0,2,0,0,0,1,0,0,0,0
5,Sunday,2016-10-09,13:02:00,1,Detroit Lions,23.0,24.0,-1.0,1.0,2.0,-1.0,0,0,2016,3,1,-1,0,0,0,1,0,0,0,0
6,Sunday,2016-10-16,13:03:00,1,Washington Redskins,20.0,27.0,-7.0,1.0,0.0,1.0,0,0,2016,3,2,-2,0,0,0,1,0,0,0,0
7,Sunday,2016-10-23,13:02:00,0,Minnesota Vikings,21.0,10.0,11.0,4.0,4.0,0.0,1,0,2016,4,2,1,0,0,0,1,0,0,0,0
8,Sunday,2016-10-30,20:31:00,1,Dallas Cowboys,23.0,29.0,-6.0,1.0,1.0,0.0,0,1,2016,4,3,-1,1,0,1,1,0,0,0,0
9,Sunday,2016-11-06,13:00:00,1,New York Giants,23.0,28.0,-5.0,2.0,2.0,0.0,0,0,2016,4,4,-2,1,1,0,1,0,0,0,0
10,Sunday,2016-11-13,13:00:00,0,Atlanta Falcons,24.0,15.0,9.0,1.0,1.0,0.0,1,0,2016,5,4,1,0,0,0,1,0,0,0,0
11,Sunday,2016-11-20,16:25:00,1,Seattle Seahawks,15.0,26.0,-11.0,0.0,2.0,-2.0,0,0,2016,5,5,-1,0,0,0,1,0,0,0,0
12,Monday,2016-11-28,20:30:00,0,Green Bay Packers,13.0,27.0,-14.0,0.0,1.0,-1.0,0,0,2016,5,6,-2,0,0,0,1,0,0,0,0
13,Sunday,2016-12-04,13:00:00,1,Cincinnati Bengals,14.0,32.0,-18.0,2.0,3.0,-1.0,0,0,2016,5,7,-3,0,0,0,1,0,0,0,0
14,Sunday,2016-12-11,13:00:00,0,Washington Redskins,22.0,27.0,-5.0,1.0,2.0,-1.0,0,0,2016,5,8,-4,0,0,0,1,0,0,0,0
15,Sunday,2016-12-18,13:00:00,1,Baltimore Ravens,26.0,27.0,-1.0,2.0,1.0,1.0,0,0,2016,5,9,-5,0,0,0,1,0,0,0,0
16,Thursday,2016-12-22,20:25:00,0,New York Giants,24.0,19.0,5.0,3.0,1.0,2.0,1,0,2016,6,9,1,1,1,0,1,0,0,0,0
17,Sunday,2017-01-01,13:00:00,0,Dallas Cowboys,27.0,13.0,14.0,2.0,0.0,2.0,1,0,2016,7,9,2,1,0,1,1,0,0,0,0
1,Sunday,2017-09-10,13:00:00,1,Washington Redskins,30.0,17.0,13.0,4.0,2.0,2.0,1,0,2017,1,0,-1,0,0,0,1,0,0,0,0
2,Sunday,2017-09-17,13:00:00,1,Kansas City Chiefs,20.0,27.0,-7.0,0.0,2.0,-2.0,0,0,2017,1,1,-1,0,0,0,1,0,0,0,0
3,Sunday,2017-09-24,13:00:00,0,New York Giants,27.0,24.0,3.0,2.0,1.0,1.0,1,0,2017,2,1,1,1,1,0,1,0,0,0,0
4,Sunday,2017-10-01,16:05:00,1,Los Angeles Chargers,26.0,24.0,2.0,1.0,0.0,1.0,1,0,2017,3,1,2,0,0,0,1,0,0,0,0
5,Sunday,2017-10-08,13:00:00,0,Arizona Cardinals,34.0,7.0,27.0,1.0,1.0,0.0,1,0,2017,4,1,3,0,0,0,1,0,0,0,0
6,Thursday,2017-10-12,20:25:00,1,Carolina Panthers,28.0,23.0,5.0,3.0,1.0,2.0,1,0,2017,5,1,4,0,0,0,1,0,0,0,0
7,Monday,2017-10-23,20:30:00,0,Washington Redskins,34.0,24.0,10.0,1.0,1.0,0.0,1,0,2017,6,1,5,0,0,0,1,0,0,0,0
8,Sunday,2017-10-29,13:00:00,0,San Francisco 49ers,33.0,10.0,23.0,2.0,1.0,1.0,1,0,2017,7,1,6,0,0,0,1,0,0,0,0
9,Sunday,2017-11-05,13:00:00,0,Denver Broncos,51.0,23.0,28.0,2.0,1.0,1.0,1,0,2017,8,1,7,0,0,0,1,0,0,0,0
11,Sunday,2017-11-19,20:30:00,1,Dallas Cowboys,37.0,9.0,28.0,4.0,0.0,4.0,1,0,2017,9,1,8,1,0,1,1,0,0,0,0
12,Sunday,2017-11-26,13:00:00,0,Chicago Bears,31.0,3.0,28.0,2.0,3.0,-1.0,1,0,2017,10,1,9,0,0,0,1,0,0,0,0
13,Sunday,2017-12-03,20:30:00,1,Seattle Seahawks,10.0,24.0,-14.0,0.0,2.0,-2.0,0,0,2017,10,2,-1,0,0,0,1,0,0,0,0
14,Sunday,2017-12-10,16:25:00,1,Los Angeles Rams,43.0,35.0,8.0,2.0,1.0,1.0,1,0,2017,11,2,1,0,0,0,1,0,0,0,0
15,Sunday,2017-12-17,13:00:00,1,New York Giants,34.0,29.0,5.0,1.0,0.0,1.0,1,0,2017,12,2,2,1,1,0,1,0,0,0,0
16,Monday,2017-12-25,20:30:00,0,Oakland Raiders,19.0,10.0,9.0,5.0,2.0,3.0,1,0,2017,13,2,3,0,0,0,1,0,0,0,0
17,Sunday,2017-12-31,13:00:00,0,Dallas Cowboys,0.0,6.0,-6.0,1.0,2.0,-1.0,0,0,2017,13,3,-1,1,0,1,1,0,0,0,0
Division,Saturday,2018-01-13,16:35:00,0,Atlanta Falcons,15.0,10.0,5.0,0.0,2.0,-2.0,1,0,2017,14,3,1,0,0,0,0,0,1,0,0
Conf. Champ.,Sunday,2018-01-21,18:40:00,0,Minnesota Vikings,38.0,7.0,31.0,3.0,0.0,3.0,1,0,2017,15,3,2,0,0,0,0,0,0,1,0
SuperBowl,Sunday,2018-02-04,18:30:00,0,New England Patriots,41.0,33.0,8.0,1.0,1.0,0.0,1,0,2017,16,3,3,0,0,0,0,0,0,0,1
1,Thursday,2018-09-06,20:20:00,0,Atlanta Falcons,18.0,12.0,6.0,1.0,2.0,-1.0,1,0,2018,1,0,-1,0,0,0,1,0,0,0,0
2,Sunday,2018-09-16,13:00:00,1,Tampa Bay Buccaneers,21.0,27.0,-6.0,2.0,2.0,0.0,0,0,2018,1,1,-1,0,0,0,1,0,0,0,0
3,Sunday,2018-09-23,13:00:00,0,Indianapolis Colts,20.0,16.0,4.0,0.0,2.0,-2.0,1,0,2018,2,1,1,0,0,0,1,0,0,0,0
4,Sunday,2018-09-30,13:00:00,1,Tennessee Titans,23.0,26.0,-3.0,1.0,1.0,0.0,0,1,2018,2,2,-1,0,0,0,1,0,0,0,0
5,Sunday,2018-10-07,16:25:00,0,Minnesota Vikings,21.0,23.0,-2.0,1.0,2.0,-1.0,0,0,2018,2,3,-2,0,0,0,1,0,0,0,0
6,Thursday,2018-10-11,20:20:00,1,New York Giants,34.0,13.0,21.0,1.0,0.0,1.0,1,0,2018,3,3,1,1,1,0,1,0,0,0,0
7,Sunday,2018-10-21,13:00:00,0,Carolina Panthers,17.0,21.0,-4.0,0.0,1.0,-1.0,0,0,2018,3,4,-1,0,0,0,1,0,0,0,0
8,Sunday,2018-10-28,09:30:00,1,Jacksonville Jaguars,24.0,18.0,6.0,1.0,2.0,-1.0,1,0,2018,4,4,1,0,0,0,1,0,0,0,0
10,Sunday,2018-11-11,20:20:00,0,Dallas Cowboys,20.0,27.0,-7.0,0.0,1.0,-1.0,0,0,2018,4,5,-1,1,0,1,1,0,0,0,0
11,Sunday,2018-11-18,16:25:00,1,New Orleans Saints,7.0,48.0,-41.0,0.0,3.0,-3.0,0,0,2018,4,6,-2,0,0,0,1,0,0,0,0
12,Sunday,2018-11-25,13:00:00,0,New York Giants,25.0,22.0,3.0,1.0,0.0,1.0,1,0,2018,5,6,1,1,1,0,1,0,0,0,0
13,Monday,2018-12-03,20:15:00,0,Washington Redskins,28.0,13.0,15.0,1.0,1.0,0.0,1,0,2018,6,6,2,0,0,0,1,0,0,0,0
14,Sunday,2018-12-09,16:25:00,1,Dallas Cowboys,23.0,29.0,-6.0,3.0,1.0,2.0,0,1,2018,6,7,-1,1,0,1,1,0,0,0,0
15,Sunday,2018-12-16,20:20:00,1,Los Angeles Rams,30.0,23.0,7.0,3.0,1.0,2.0,1,0,2018,7,7,1,0,0,0,1,0,0,0,0
16,Sunday,2018-12-23,13:00:00,0,Houston Texans,32.0,30.0,2.0,1.0,3.0,-2.0,1,0,2018,8,7,2,0,0,0,1,0,0,0,0
17,Sunday,2018-12-30,16:25:00,1,Washington Redskins,24.0,0.0,24.0,1.0,1.0,0.0,1,0,2018,9,7,3,0,0,0,1,0,0,0,0
Wild Card,Sunday,2019-01-06,16:40:00,1,Chicago Bears,16.0,15.0,1.0,0.0,2.0,-2.0,1,0,2018,10,7,4,0,0,0,0,1,0,0,0
Division,Sunday,2019-01-13,16:40:00,1,New Orleans Saints,14.0,20.0,-6.0,1.0,2.0,-1.0,0,0,2018,10,8,-1,0,0,0,0,0,1,0,0
