Game,Day,Date,xStartTime,xLOG,xEndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,SO,Season,Wins,Losses,Streak,Rivalry,Penguins,Rangers,Devils,RegularSeason,ConfQF
41,Thursday,2014-01-02,19:00:00,150,21:30:00,1,,Colorado Avalanche,1,2,-1,0,0,0,2013,20,17,-1,0,0,0,0,1,0
42,Saturday,2014-01-04,17:00:00,150,19:30:00,1,,Phoenix Coyotes,5,3,2,1,0,0,2013,21,17,1,0,0,0,0,1,0
43,Tuesday,2014-01-07,19:00:00,150,21:30:00,1,,New Jersey Devils,3,2,1,1,1,0,2013,22,17,2,1,0,0,1,1,0
44,Wednesday,2014-01-08,19:00:00,150,21:30:00,0,,Montreal Canadiens,3,1,2,1,0,0,2013,23,17,3,0,0,0,0,1,0
45,Saturday,2014-01-11,17:00:00,150,19:30:00,0,,Tampa Bay Lightning,3,6,-3,0,0,0,2013,23,18,-1,0,0,0,0,1,0
46,Sunday,2014-01-12,17:00:00,150,19:30:00,1,,New York Rangers,1,4,-3,0,0,0,2013,23,19,-2,1,0,1,0,1,0
47,Tuesday,2014-01-14,19:00:00,150,21:30:00,1,,Buffalo Sabres,4,3,1,1,0,0,2013,24,19,1,0,0,0,0,1,0
48,Thursday,2014-01-16,19:00:00,150,21:30:00,0,,Nashville Predators,3,4,-1,0,1,1,2013,24,19,-1,0,0,0,0,1,0
49,Saturday,2014-01-18,17:00:00,150,19:30:00,0,,New York Islanders,6,4,2,1,0,0,2013,25,19,1,0,0,0,0,1,0
50,Monday,2014-01-20,19:00:00,150,21:30:00,1,,New York Islanders,3,4,-1,0,1,1,2013,25,19,-1,0,0,0,0,1,0
51,Wednesday,2014-01-22,19:00:00,150,21:30:00,0,,Carolina Hurricanes,2,3,-1,0,0,0,2013,25,20,-1,0,0,0,0,1,0
52,Thursday,2014-01-23,19:00:00,150,21:30:00,1,,Columbus Blue Jackets,2,5,-3,0,0,0,2013,25,21,-2,0,0,0,0,1,0
53,Saturday,2014-01-25,17:00:00,150,19:30:00,0,,Boston Bruins,1,6,-5,0,0,0,2013,25,22,-3,0,0,0,0,1,0
54,Tuesday,2014-01-28,19:00:00,150,21:30:00,0,,Detroit Red Wings,5,0,5,1,0,0,2013,26,22,1,0,0,0,0,1,0
55,Thursday,2014-01-30,19:00:00,150,21:30:00,1,,Anaheim Ducks,3,5,-2,0,0,0,2013,26,23,-1,0,0,0,0,1,0
56,Saturday,2014-02-01,17:00:00,150,19:30:00,1,,Los Angeles Kings,2,0,2,1,0,0,2013,27,23,1,0,0,0,0,1,0
57,Monday,2014-02-03,19:00:00,150,21:30:00,1,,San Jose Sharks,5,2,3,1,0,0,2013,28,23,2,0,0,0,0,1,0
58,Thursday,2014-02-06,19:00:00,150,21:30:00,0,,Colorado Avalanche,3,1,2,1,0,0,2013,29,23,3,0,0,0,0,1,0
59,Saturday,2014-02-08,17:00:00,150,19:30:00,0,,Calgary Flames,2,1,1,1,0,0,2013,30,23,4,0,0,0,0,1,0
60,Thursday,2014-02-27,19:00:00,150,21:30:00,0,,San Jose Sharks,3,7,-4,0,0,0,2013,30,24,-1,0,0,0,0,1,0
61,Saturday,2014-03-01,17:00:00,150,19:30:00,0,,New York Rangers,4,2,2,1,0,0,2013,31,24,1,1,0,1,0,1,0
62,Sunday,2014-03-02,17:00:00,150,19:30:00,1,,Washington Capitals,5,4,1,1,1,0,2013,32,24,2,0,0,0,0,1,0
63,Wednesday,2014-03-05,19:00:00,150,21:30:00,0,,Washington Capitals,6,4,2,1,0,0,2013,33,24,3,0,0,0,0,1,0
64,Saturday,2014-03-08,17:00:00,150,19:30:00,1,,Toronto Maple Leafs,3,4,-1,0,1,0,2013,33,24,-1,0,0,0,0,1,0
65,Tuesday,2014-03-11,19:00:00,150,21:30:00,0,,New Jersey Devils,1,2,-1,0,0,0,2013,33,25,-1,1,0,0,1,1,0
66,Saturday,2014-03-15,17:00:00,150,19:30:00,0,,Pittsburgh Penguins,4,0,4,1,0,0,2013,34,25,1,1,1,0,0,1,0
67,Sunday,2014-03-16,17:00:00,150,19:30:00,1,,Pittsburgh Penguins,4,3,1,1,0,0,2013,35,25,2,1,1,0,0,1,0
68,Tuesday,2014-03-18,19:00:00,150,21:30:00,0,,Chicago Blackhawks,3,2,1,1,1,0,2013,36,25,3,0,0,0,0,1,0
69,Thursday,2014-03-20,19:00:00,150,21:30:00,0,,Dallas Stars,4,2,2,1,0,0,2013,37,25,4,0,0,0,0,1,0
70,Saturday,2014-03-22,17:00:00,150,19:30:00,0,,St. Louis Blues,4,1,3,1,0,0,2013,38,25,5,0,0,0,0,1,0
71,Monday,2014-03-24,19:00:00,150,21:30:00,0,,Los Angeles Kings,2,3,-1,0,0,0,2013,38,26,-1,0,0,0,0,1,0
72,Wednesday,2014-03-26,19:00:00,150,21:30:00,1,,New York Rangers,1,3,-2,0,0,0,2013,38,27,-2,1,0,1,0,1,0
73,Friday,2014-03-28,19:00:00,150,21:30:00,0,,Toronto Maple Leafs,4,2,2,1,0,0,2013,39,27,1,0,0,0,0,1,0
74,Sunday,2014-03-30,17:00:00,150,19:30:00,0,,Boston Bruins,3,4,-1,0,1,1,2013,39,27,-1,0,0,0,0,1,0
75,Tuesday,2014-04-01,19:00:00,150,21:30:00,1,,St. Louis Blues,0,1,-1,0,1,1,2013,39,27,-1,0,0,0,0,1,0
76,Thursday,2014-04-03,19:00:00,150,21:30:00,0,,Columbus Blue Jackets,0,2,-2,0,0,0,2013,39,28,-1,0,0,0,0,1,0
77,Saturday,2014-04-05,17:00:00,150,19:30:00,1,,Boston Bruins,2,5,-3,0,0,0,2013,39,29,-2,0,0,0,0,1,0
78,Sunday,2014-04-06,17:00:00,150,19:30:00,0,,Buffalo Sabres,5,2,3,1,0,0,2013,40,29,1,0,0,0,0,1,0
79,Tuesday,2014-04-08,19:00:00,150,21:30:00,1,,Florida Panthers,5,2,3,1,0,0,2013,41,29,2,0,0,0,0,1,0
80,Thursday,2014-04-10,19:00:00,150,21:30:00,1,,Tampa Bay Lightning,2,4,-2,0,0,0,2013,41,30,-1,0,0,0,0,1,0
81,Saturday,2014-04-12,17:00:00,150,19:30:00,1,,Pittsburgh Penguins,4,3,1,1,1,0,2013,42,30,1,1,1,0,0,1,0
82,Sunday,2014-04-13,17:00:00,150,19:30:00,0,,Carolina Hurricanes,5,6,-1,0,1,1,2013,42,30,-1,0,0,0,0,1,0
1,Thursday,2014-04-17,19:00:00,150,21:30:00,1,,New York Rangers,1,4,-3,0,0,0,2013,0,1,-1,1,0,1,0,0,1
2,Sunday,2014-04-20,17:00:00,150,19:30:00,1,,New York Rangers,4,2,2,1,0,0,2013,1,1,1,1,0,1,0,0,1
3,Tuesday,2014-04-22,19:00:00,150,21:30:00,0,,New York Rangers,1,4,-3,0,0,0,2013,1,2,-1,1,0,1,0,0,1
4,Friday,2014-04-25,19:00:00,150,21:30:00,0,,New York Rangers,2,1,1,1,0,0,2013,2,2,1,1,0,1,0,0,1
5,Sunday,2014-04-27,17:00:00,150,19:30:00,1,,New York Rangers,2,4,-2,0,0,0,2013,2,3,-1,1,0,1,0,0,1
6,Tuesday,2014-04-29,19:00:00,150,21:30:00,0,,New York Rangers,5,2,3,1,0,0,2013,3,3,1,1,0,1,0,0,1
7,Wednesday,2014-04-30,19:00:00,150,21:30:00,1,,New York Rangers,1,2,-1,0,0,0,2013,3,4,-1,1,0,1,0,0,1
1,Wednesday,2014-10-08,19:00:00,150,21:30:00,1,,Boston Bruins,1,2,-1,0,0,0,2014,0,1,-1,0,0,0,0,1,0
2,Thursday,2014-10-09,19:00:00,150,21:30:00,0,,New Jersey Devils,4,6,-2,0,0,0,2014,0,2,-1,1,0,0,1,1,0
3,Saturday,2014-10-11,17:00:00,150,19:30:00,0,,Montreal Canadiens,3,4,-1,0,1,1,2014,0,2,-1,0,0,0,0,1,0
4,Tuesday,2014-10-14,19:00:00,150,21:30:00,0,,Anaheim Ducks,3,4,-1,0,1,1,2014,0,2,-1,0,0,0,0,1,0
5,Saturday,2014-10-18,17:00:00,150,19:30:00,1,,Dallas Stars,6,5,1,1,1,0,2014,1,2,1,0,0,0,0,1,0
6,Tuesday,2014-10-21,19:00:00,150,21:30:00,1,,Chicago Blackhawks,0,4,-4,0,0,0,2014,1,3,-1,0,0,0,0,1,0
7,Wednesday,2014-10-22,19:00:00,150,21:30:00,1,,Pittsburgh Penguins,5,3,2,1,0,0,2014,2,3,1,1,1,0,0,1,0
8,Saturday,2014-10-25,17:00:00,150,19:30:00,0,,Detroit Red Wings,4,2,2,1,0,0,2014,3,3,2,0,0,0,0,1,0
9,Tuesday,2014-10-28,19:00:00,150,21:30:00,0,,Los Angeles Kings,3,2,1,1,1,0,2014,4,3,3,0,0,0,0,1,0
10,Thursday,2014-10-30,19:00:00,150,21:30:00,1,,Tampa Bay Lightning,3,4,-1,0,0,0,2014,4,4,-1,0,0,0,0,1,0
11,Saturday,2014-11-01,17:00:00,150,19:30:00,1,,Florida Panthers,1,2,-1,0,0,0,2014,4,5,-2,0,0,0,0,1,0
12,Tuesday,2014-11-04,19:00:00,150,21:30:00,0,,Edmonton Oilers,4,1,3,1,0,0,2014,5,5,1,0,0,0,0,1,0
13,Thursday,2014-11-06,19:00:00,150,21:30:00,0,,Florida Panthers,4,1,3,1,0,0,2014,6,5,2,0,0,0,0,1,0
14,Saturday,2014-11-08,17:00:00,150,19:30:00,0,,Colorado Avalanche,4,3,1,1,0,0,2014,7,5,3,0,0,0,0,1,0
15,Friday,2014-11-14,19:00:00,150,21:30:00,0,,Columbus Blue Jackets,3,4,-1,0,0,0,2014,7,6,-1,0,0,0,0,1,0
16,Saturday,2014-11-15,17:00:00,150,19:30:00,1,,Montreal Canadiens,3,6,-3,0,0,0,2014,7,7,-2,0,0,0,0,1,0
17,Wednesday,2014-11-19,19:00:00,150,21:30:00,1,,New York Rangers,0,2,-2,0,0,0,2014,7,8,-3,1,0,1,0,1,0
18,Thursday,2014-11-20,19:00:00,150,21:30:00,0,,Minnesota Wild,2,3,-1,0,0,0,2014,7,9,-4,0,0,0,0,1,0
19,Saturday,2014-11-22,17:00:00,150,19:30:00,0,,Columbus Blue Jackets,4,2,2,1,0,0,2014,8,9,1,0,0,0,0,1,0
20,Monday,2014-11-24,19:00:00,150,21:30:00,1,,New York Islanders,0,1,-1,0,1,1,2014,8,9,-1,0,0,0,0,1,0
21,Wednesday,2014-11-26,19:00:00,150,21:30:00,1,,Detroit Red Wings,2,5,-3,0,0,0,2014,8,10,-1,0,0,0,0,1,0
22,Friday,2014-11-28,19:00:00,150,21:30:00,0,,New York Rangers,0,3,-3,0,0,0,2014,8,11,-2,1,0,1,0,1,0
23,Saturday,2014-11-29,17:00:00,150,19:30:00,1,,New York Rangers,2,5,-3,0,0,0,2014,8,12,-3,1,0,1,0,1,0
24,Tuesday,2014-12-02,19:00:00,150,21:30:00,1,,San Jose Sharks,1,2,-1,0,0,0,2014,8,13,-4,0,0,0,0,1,0
25,Wednesday,2014-12-03,19:00:00,150,21:30:00,1,,Anaheim Ducks,4,5,-1,0,1,1,2014,8,13,-1,0,0,0,0,1,0
26,Saturday,2014-12-06,17:00:00,150,19:30:00,1,,Los Angeles Kings,2,1,1,1,0,0,2014,9,13,1,0,0,0,0,1,0
27,Tuesday,2014-12-09,19:00:00,150,21:30:00,1,,Columbus Blue Jackets,2,3,-1,0,1,0,2014,9,13,-1,0,0,0,0,1,0
28,Thursday,2014-12-11,19:00:00,150,21:30:00,0,,New Jersey Devils,4,1,3,1,0,0,2014,10,13,1,1,0,0,1,1,0
29,Saturday,2014-12-13,17:00:00,150,19:30:00,0,,Carolina Hurricanes,5,1,4,1,0,0,2014,11,13,2,0,0,0,0,1,0
30,Tuesday,2014-12-16,19:00:00,150,21:30:00,0,,Tampa Bay Lightning,1,3,-2,0,0,0,2014,11,14,-1,0,0,0,0,1,0
31,Thursday,2014-12-18,19:00:00,150,21:30:00,0,,Florida Panthers,1,2,-1,0,1,1,2014,11,14,-1,0,0,0,0,1,0
32,Saturday,2014-12-20,17:00:00,150,19:30:00,1,,Toronto Maple Leafs,7,4,3,1,0,0,2014,12,14,1,0,0,0,0,1,0
33,Sunday,2014-12-21,17:00:00,150,19:30:00,1,,Winnipeg Jets,4,3,1,1,1,0,2014,13,14,2,0,0,0,0,1,0
34,Tuesday,2014-12-23,19:00:00,150,21:30:00,1,,Minnesota Wild,5,2,3,1,0,0,2014,14,14,3,0,0,0,0,1,0
35,Saturday,2014-12-27,17:00:00,150,19:30:00,1,,Nashville Predators,1,4,-3,0,0,0,2014,14,15,-1,0,0,0,0,1,0
36,Monday,2014-12-29,19:00:00,150,21:30:00,1,,Arizona Coyotes,2,4,-2,0,0,0,2014,14,16,-2,0,0,0,0,1,0
37,Wednesday,2014-12-31,19:00:00,150,21:30:00,1,,Colorado Avalanche,3,4,-1,0,1,0,2014,14,16,-1,0,0,0,0,1,0
38,Friday,2015-01-02,19:00:00,150,21:30:00,1,,Carolina Hurricanes,1,2,-1,0,0,0,2014,14,17,-1,0,0,0,0,1,0
39,Saturday,2015-01-03,17:00:00,150,19:30:00,1,,New Jersey Devils,2,5,-3,0,0,0,2014,14,18,-2,1,0,0,1,1,0
40,Tuesday,2015-01-06,19:00:00,150,21:30:00,0,,Ottawa Senators,2,1,1,1,1,1,2014,15,18,1,0,0,0,0,1,0
41,Thursday,2015-01-08,19:00:00,150,21:30:00,0,,Washington Capitals,3,2,1,1,1,0,2014,16,18,2,0,0,0,0,1,0
42,Saturday,2015-01-10,17:00:00,150,19:30:00,0,,Boston Bruins,1,3,-2,0,0,0,2014,16,19,-1,0,0,0,0,1,0
43,Monday,2015-01-12,19:00:00,150,21:30:00,0,,Tampa Bay Lightning,7,3,4,1,0,0,2014,17,19,1,0,0,0,0,1,0
44,Wednesday,2015-01-14,19:00:00,150,21:30:00,1,,Washington Capitals,0,1,-1,0,0,0,2014,17,20,-1,0,0,0,0,1,0
45,Thursday,2015-01-15,19:00:00,150,21:30:00,0,,Vancouver Canucks,0,4,-4,0,0,0,2014,17,21,-2,0,0,0,0,1,0
46,Saturday,2015-01-17,17:00:00,150,19:30:00,1,,Buffalo Sabres,4,3,1,1,0,0,2014,18,21,1,0,0,0,0,1,0
47,Monday,2015-01-19,19:00:00,150,21:30:00,1,,New York Islanders,4,7,-3,0,0,0,2014,18,22,-1,0,0,0,0,1,0
48,Tuesday,2015-01-20,19:00:00,150,21:30:00,0,,Pittsburgh Penguins,3,2,1,1,1,0,2014,19,22,1,1,1,0,0,1,0
49,Tuesday,2015-01-27,19:00:00,150,21:30:00,0,,Arizona Coyotes,4,3,1,1,1,1,2014,20,22,2,0,0,0,0,1,0
50,Thursday,2015-01-29,19:00:00,150,21:30:00,0,,Winnipeg Jets,5,2,3,1,0,0,2014,21,22,3,0,0,0,0,1,0
51,Saturday,2015-01-31,17:00:00,150,19:30:00,0,,Toronto Maple Leafs,1,0,1,1,0,0,2014,22,22,4,0,0,0,0,1,0
52,Thursday,2015-02-05,19:00:00,150,21:30:00,0,,New York Islanders,2,3,-1,0,1,1,2014,22,22,-1,0,0,0,0,1,0
53,Sunday,2015-02-08,17:00:00,150,19:30:00,1,,Washington Capitals,3,1,2,1,0,0,2014,23,22,1,0,0,0,0,1,0
54,Tuesday,2015-02-10,19:00:00,150,21:30:00,1,,Montreal Canadiens,1,2,-1,0,1,0,2014,23,22,-1,0,0,0,0,1,0
55,Friday,2015-02-13,19:00:00,150,21:30:00,1,,Columbus Blue Jackets,3,4,-1,0,1,0,2014,23,22,-1,0,0,0,0,1,0
56,Sunday,2015-02-15,17:00:00,150,19:30:00,1,,Buffalo Sabres,2,1,1,1,0,0,2014,24,22,1,0,0,0,0,1,0
57,Tuesday,2015-02-17,19:00:00,150,21:30:00,0,,Columbus Blue Jackets,2,5,-3,0,0,0,2014,24,23,-1,0,0,0,0,1,0
58,Thursday,2015-02-19,19:00:00,150,21:30:00,0,,Buffalo Sabres,2,3,-1,0,1,1,2014,24,23,-1,0,0,0,0,1,0
59,Saturday,2015-02-21,17:00:00,150,19:30:00,0,,Nashville Predators,3,2,1,1,1,1,2014,25,23,1,0,0,0,0,1,0
60,Sunday,2015-02-22,17:00:00,150,19:30:00,0,,Washington Capitals,3,2,1,1,0,0,2014,26,23,2,0,0,0,0,1,0
61,Tuesday,2015-02-24,19:00:00,150,21:30:00,1,,Carolina Hurricanes,1,4,-3,0,0,0,2014,26,24,-1,0,0,0,0,1,0
62,Thursday,2015-02-26,19:00:00,150,21:30:00,1,,Toronto Maple Leafs,2,3,-1,0,0,0,2014,26,25,-2,0,0,0,0,1,0
63,Saturday,2015-02-28,17:00:00,150,19:30:00,0,,New York Rangers,4,2,2,1,0,0,2014,27,25,1,1,0,1,0,1,0
64,Tuesday,2015-03-03,19:00:00,150,21:30:00,0,,Calgary Flames,2,3,-1,0,1,0,2014,27,25,-1,0,0,0,0,1,0
65,Thursday,2015-03-05,19:00:00,150,21:30:00,0,,St. Louis Blues,3,1,2,1,0,0,2014,28,25,1,0,0,0,0,1,0
66,Saturday,2015-03-07,17:00:00,150,19:30:00,1,,Boston Bruins,2,3,-1,0,1,0,2014,28,25,-1,0,0,0,0,1,0
67,Sunday,2015-03-08,17:00:00,150,19:30:00,1,,New Jersey Devils,2,5,-3,0,0,0,2014,28,26,-1,1,0,0,1,1,0
68,Tuesday,2015-03-10,19:00:00,150,21:30:00,0,,Dallas Stars,1,2,-1,0,0,0,2014,28,27,-2,0,0,0,0,1,0
69,Thursday,2015-03-12,19:00:00,150,21:30:00,1,,St. Louis Blues,0,1,-1,0,1,1,2014,28,27,-1,0,0,0,0,1,0
70,Saturday,2015-03-14,17:00:00,150,19:30:00,0,,Detroit Red Wings,7,2,5,1,0,0,2014,29,27,1,0,0,0,0,1,0
71,Sunday,2015-03-15,17:00:00,150,19:30:00,1,,Ottawa Senators,1,2,-1,0,1,1,2014,29,27,-1,0,0,0,0,1,0
72,Tuesday,2015-03-17,19:00:00,150,21:30:00,1,,Vancouver Canucks,1,4,-3,0,0,0,2014,29,28,-1,0,0,0,0,1,0
73,Thursday,2015-03-19,19:00:00,150,21:30:00,1,,Calgary Flames,1,4,-3,0,0,0,2014,29,29,-2,0,0,0,0,1,0
74,Saturday,2015-03-21,17:00:00,150,19:30:00,1,,Edmonton Oilers,4,5,-1,0,1,0,2014,29,29,-1,0,0,0,0,1,0
75,Wednesday,2015-03-25,19:00:00,150,21:30:00,0,,Chicago Blackhawks,4,1,3,1,0,0,2014,30,29,1,0,0,0,0,1,0
76,Saturday,2015-03-28,17:00:00,150,19:30:00,0,,San Jose Sharks,2,3,-1,0,1,1,2014,30,29,-1,0,0,0,0,1,0
77,Wednesday,2015-04-01,19:00:00,150,21:30:00,1,,Pittsburgh Penguins,4,1,3,1,0,0,2014,31,29,1,1,1,0,0,1,0
78,Saturday,2015-04-04,17:00:00,150,19:30:00,1,,Carolina Hurricanes,2,3,-1,0,1,1,2014,31,29,-1,0,0,0,0,1,0
79,Sunday,2015-04-05,17:00:00,150,19:30:00,0,,Pittsburgh Penguins,4,1,3,1,0,0,2014,32,29,1,1,1,0,0,1,0
80,Tuesday,2015-04-07,19:00:00,150,21:30:00,0,,New York Islanders,5,4,1,1,0,0,2014,33,29,2,0,0,0,0,1,0
81,Thursday,2015-04-09,19:00:00,150,21:30:00,0,,Carolina Hurricanes,1,3,-2,0,0,0,2014,33,30,-1,0,0,0,0,1,0
82,Saturday,2015-04-11,17:00:00,150,19:30:00,0,,Ottawa Senators,1,3,-2,0,0,0,2014,33,31,-2,0,0,0,0,1,0
1,Thursday,2015-10-08,19:00:00,154,21:34:00,1,19092,Tampa Bay Lightning,2,3,-1,0,1,0,2015,0,0,-1,0,0,0,0,1,0
